well_id,api_formatted,compl_date
504982,30-015-37165,6/3/2010
505418,30-015-39848,8/1/2012
505518,30-015-40207,10/8/2012
505714,30-015-40580,12/17/2012
505812,30-015-40963,7/8/2014
506270,30-015-41981,4/10/2015
506440,30-015-42851,4/21/2015
506801,30-025-40635,9/12/2013
508359,30-015-40481,1/18/2013
509018,30-015-38533,4/7/2012
509104,30-015-42922,6/30/2015
509106,30-015-42956,6/11/2015
509616,30-025-40503,10/15/2012
509647,30-015-40256,2/3/2013
509828,30-015-40516,4/1/2013
509833,30-015-40586,11/6/2012
509928,30-025-41141,4/24/2014
510016,30-015-40874,3/25/2013
510149,30-015-41089,5/21/2015
510728,30-015-39824,8/28/2014
510828,30-015-39896,6/18/2012
510846,30-015-42008,10/24/2014
511040,30-015-39198,9/12/2012
511140,30-015-40684,4/24/2013
511147,30-015-40766,7/20/2013
511175,30-015-41395,1/3/2014
511225,30-015-39820,4/12/2013
511561,30-015-41738,4/28/2015
511642,30-025-41257,3/3/2014
511699,30-015-40867,2/16/2013
511711,30-015-40944,3/18/2013
511743,30-025-41353,7/1/2015
511793,30-015-42415,1/21/2015
511831,30-025-41625,2/15/2015
511975,30-025-42794,11/24/2015
512155,30-015-41935,7/10/2014
512161,30-015-42048,10/17/2014
512170,30-025-37295,11/10/2005
512703,30-025-40048,4/16/2013
513083,30-025-41123,1/28/2014
513373,30-025-41633,7/11/2014
513482,30-025-41947,6/20/2015
513678,30-025-42145,8/29/2015
514013,30-025-42501,6/27/2015
520266,30-015-38259,4/20/2013
520713,30-015-40649,4/10/2013
520787,30-015-40748,7/29/2013
520867,30-015-41240,2/23/2014
520960,30-015-41633,11/17/2013
521052,30-015-42055,12/6/2014
521215,30-015-43227,9/25/2015
521745,30-025-40948,10/15/2013
521754,30-025-41066,6/24/2013
521890,30-025-41333,2/16/2014
522173,30-025-41794,12/12/2014
571796,42-109-32499,1/2/2013
578047,42-109-32815,10/2/2015
580379,42-109-32585,4/1/2015
589670,42-109-32372,10/15/2012
590162,42-109-32865,1/30/2017
590296,42-109-32440,8/19/2012
604009,42-301-31565,11/22/2012
604020,42-301-31676,5/23/2013
604439,42-301-32137,7/20/2014
604818,42-301-32484,3/1/2015
610184,42-301-31607,12/16/2011
610364,42-301-31739,8/16/2012
610368,42-301-31763,2/25/2013
610514,42-301-32087,3/10/2014
610884,42-301-32449,8/3/2015
610895,42-301-32552,8/31/2015
610902,42-301-32592,9/20/2016
611078,42-301-32648,10/22/2015
611303,42-301-32781,5/5/2017
618872,42-371-39374,3/31/2016
620801,42-389-32888,10/1/2011
623809,42-301-31865,8/28/2013
624697,42-301-32600,9/19/2015
625288,42-301-31838,12/13/2012
625586,42-301-32706,6/9/2016
625713,42-301-32819,6/28/2016
625944,42-301-32550,8/31/2015
625951,42-301-32612,1/23/2016
625966,42-301-32441,11/17/2016
625975,42-301-32510,6/16/2015
634487,42-389-32728,8/17/2011
635243,42-389-33788,2/19/2015
635461,42-389-34023,7/30/2014
635603,42-389-34254,8/3/2014
636076,42-389-34872,9/15/2015
636250,42-389-34975,5/21/2016
642401,42-389-33823,10/14/2013
642682,42-389-34065,4/18/2014
642887,42-389-34215,7/18/2014
642892,42-389-34263,8/3/2014
643027,42-389-34448,5/28/2015
644732,42-389-32885,2/1/2012
645207,42-389-33147,9/17/2013
645526,42-389-34337,9/16/2014
645585,42-389-33928,12/14/2013
645620,42-389-34365,11/24/2014
645652,42-389-33783,9/24/2013
645679,42-389-34146,7/3/2014
645878,42-389-34118,5/27/2014
645942,42-389-34289,11/1/2014
646177,42-389-34878,11/4/2016
646326,42-389-34971,6/8/2016
646338,42-389-35085,1/9/2017
646343,42-389-35116,4/29/2016
653601,42-389-34919,3/17/2016
653713,42-389-35119,5/2/2016
657970,42-475-35922,2/25/2012
657971,42-475-35930,6/11/2012
657979,42-475-35984,4/17/2012
658280,42-475-36553,1/31/2014
659524,42-495-33588,11/1/2014
660506,42-475-36420,8/7/2013
660607,42-475-36460,1/17/2014
731148,30-015-40401,9/15/2012
731197,30-015-40946,4/16/2013
731246,30-015-41779,4/1/2014
731300,30-015-42919,4/23/2015
731363,30-025-40405,5/19/2012
731494,30-025-42934,2/15/2017
746630,42-301-31555,9/20/2010
746773,42-301-32735,4/5/2016
746775,42-301-32749,1/29/2016
746779,42-301-32775,2/3/2016
749212,42-371-39152,3/29/2014
749774,42-389-34505,6/3/2015
749793,42-389-34635,4/23/2015
751564,42-475-36597,4/24/2014
751581,42-475-36706,8/30/2014
1064672,30-015-34444,2/21/2006
1066518,30-015-36321,9/22/2008
1066832,30-015-36644,3/5/2009
1066933,30-015-36750,7/2/2009
1068310,30-015-38228,6/24/2011
1068369,30-015-38292,12/21/2012
1068487,30-015-38422,5/1/2011
1068633,30-015-38612,8/29/2014
1068898,30-015-39219,2/24/2012
1068916,30-015-39246,10/29/2011
1068987,30-015-39343,2/22/2012
1069028,30-015-39404,10/26/2012
1069512,30-015-40734,12/7/2012
1069743,30-015-41469,3/20/2017
1070099,30-015-42195,1/29/2015
1070308,30-015-42551,6/26/2015
1070426,30-015-42732,11/16/2017
1070557,30-015-42895,9/24/2015
1070696,30-015-43081,6/19/2017
1070745,30-015-43133,6/19/2017
1099934,30-025-35900,4/1/2003
1104178,30-025-40309,2/3/2012
1104208,30-025-40361,9/19/2012
1105264,30-025-42396,3/13/2018
1105536,30-025-42705,2/14/2016
1105556,30-025-42728,6/6/2016
2412024,42-301-32834,6/23/2016
2775610,42-301-31556,11/18/2010
2775611,42-301-31567,2/28/2011
2865248,42-389-32585,6/3/2009
2920248,42-389-32997,5/15/2012
2936518,42-371-37436,2/16/2007
2997439,42-475-35657,3/28/2011
3034295,42-475-35576,9/20/2010
3082130,42-475-35524,6/1/2010
3092138,42-475-35513,1/1/2010
3092172,42-475-35579,8/8/2010
3092175,42-475-35597,12/1/2010
3196403,42-371-38525,11/2/2009
3229828,42-371-39382,6/2/2016
3230005,30-015-43579,6/2/2017
3232195,42-495-33716,3/20/2016
3241346,42-109-32933,3/1/2017
3368811,42-389-35148,5/21/2016
3433745,30-025-43108,9/12/2017
3433839,42-109-32937,2/13/2017
3433872,42-301-32859,1/1/2017
3490974,30-025-43138,10/27/2017
3491431,30-015-43691,8/23/2017
3495516,42-389-35197,3/25/2017
3555592,42-389-35201,8/3/2016
3698562,30-025-43187,4/19/2017
3699876,42-389-35232,7/13/2016
3700516,42-301-32924,8/15/2017
3701619,42-389-35248,5/15/2017
3757888,42-389-35255,7/1/2017
3759783,30-015-43842,6/17/2017
3759851,42-389-35290,1/31/2017
3763087,42-301-32969,12/18/2016
3869311,30-025-43393,7/1/2017
3869549,42-389-35358,7/7/2017
3872194,42-389-35379,9/26/2017
3872299,42-389-35385,12/9/2017
3872657,42-389-35411,2/10/2017
3874409,42-301-33049,9/18/2017
3875077,42-301-33064,8/16/2017
3875098,42-371-39441,12/21/2017
3902862,42-301-33090,11/8/2017
3903515,42-389-35443,9/7/2017
3903516,42-389-35492,3/8/2017
4136715,42-389-35537,1/22/2018
4173023,30-025-43532,2/24/2018
4173045,42-301-33116,7/8/2017
4173935,42-109-33045,7/1/2017
4351394,42-301-33207,7/16/2017
4366741,42-301-33173,7/18/2017
4368672,42-301-33237,12/20/2017
4369830,42-389-35739,8/29/2017
4370717,30-025-43665,6/9/2017
4370920,30-025-43673,12/7/2017
4370922,30-025-43675,12/8/2017
4370998,42-301-33263,5/25/2018
4371167,30-015-44105,12/19/2017
4371557,42-389-35802,8/10/2017
4373097,42-301-33284,1/31/2018
4373503,42-301-33293,8/17/2017
4415923,30-015-44134,7/14/2017
4419403,42-301-33325,3/20/2018
4419479,42-389-35909,3/20/2018
4419501,42-475-37232,10/27/2017
4420500,42-389-35931,11/3/2017
4421267,30-015-44156,12/19/2017
4421944,30-015-44175,10/13/2017
4422072,42-389-35992,10/21/2017
4422297,30-025-43833,11/13/2017
4422586,42-389-35454,6/1/2014
4640791,42-301-33197,5/24/2017
4640806,42-495-33782,5/31/2017
4643387,42-301-33415,3/16/2018
4643865,42-301-33441,12/23/2017
4643890,42-389-36051,12/7/2017
4644756,42-301-33471,3/4/2018
4645109,42-301-33478,11/13/2017
4645111,42-301-33480,11/14/2017
4645969,30-025-43886,2/28/2018
4646984,42-389-36167,10/25/2017
4656372,42-389-36238,1/14/2018
4656691,42-389-36244,1/19/2018
4656873,30-025-43928,10/20/2017
4671433,42-389-36356,4/14/2018
4673228,30-025-44073,3/26/2018
4673270,30-025-44027,4/2/2018
4673719,30-015-44459,4/2/2018
4674215,30-025-44112,3/17/2018
4674230,30-025-44127,4/22/2018
4674919,42-475-37280,3/21/2018
4679752,42-389-36523,4/3/2018
4681054,42-495-33991,2/1/2018
4686306,42-389-36659,5/14/2018
4729168,42-475-37422,5/18/2018
622041,42-389-34997,4/30/2016
625781,42-301-32379,2/24/2017
626121,42-301-32539,12/9/2016
635754,42-389-34354,10/18/2014
746712,42-301-32246,8/17/2014
4373432,42-389-35825,4/7/2018
4374058,42-109-33091,6/8/2018
4415837,42-301-33307,11/2/2017
4420035,42-109-33094,3/30/2018
4421122,42-389-35955,11/21/2017
4421942,30-015-44172,3/10/2018
4643839,42-109-33134,6/29/2018
4643959,30-025-43863,10/6/2018
4656689,42-389-36242,5/28/2018
4671417,42-301-33662,1/8/2018
4672127,42-495-33930,2/16/2018
